FECHA_CORTE;N_SEC;UBIGEO;REG_NAT;DEPARTAMENTO;PROVINCIA;DISTRITO;POB_TOTAL;POB_URBANA;POB_RURAL;GPC_DOM;QRESIDUOS_DOM;QRESIDUOS_NO_DOM;QRESIDUOS_MUN;PERIODO
20230614;25;010204;SELVA;AMAZONAS;BAGUA;EL PARCO;1466;749;717;0.61;166.46;71.34;237.80;2014
20230614;26;010205;SELVA;AMAZONAS;BAGUA;IMAZA;24029;3140;20889;0.61;697.83;299.07;996.90;2014
20230614;27;010206;SELVA;AMAZONAS;BAGUA;LA PECA ;8013;4549;3464;0.45;747.16;320.21;1067.37;2014
20230614;28;010301;SELVA;AMAZONAS;BONGARA;JUMBILLA;1744;1539;205;0.73;410.19;175.80;585.99;2014
20230614;29;010302;SELVA;AMAZONAS;BONGARA;CHISQUILLA;341;138;203;0.61;30.66;13.14;43.80;2014
20230614;30;010303;SELVA;AMAZONAS;BONGARA;CHURUJA;273;249;24;0.61;55.31;23.70;79.02;2014
20230614;31;010304;SELVA;AMAZONAS;BONGARA;COROSHA;990;139;851;0.61;30.90;13.24;44.14;2014
20230614;32;010305;SELVA;AMAZONAS;BONGARA;CUISPES;891;415;476;0.61;92.16;39.50;131.66;2014
20230614;33;010306;SELVA;AMAZONAS;BONGARA;FLORIDA;8257;4755;3502;0.56;971.96;416.56;1388.52;2014
20230614;34;010307;SELVA;AMAZONAS;BONGARA;JAZAN;9253;7585;1668;0.46;1273.52;545.79;1819.31;2014
20230614;35;010308;SELVA;AMAZONAS;BONGARA;RECTA;211;73;138;0.61;16.24;6.96;23.20;2014
20230614;36;010309;SELVA;AMAZONAS;BONGARA;SAN CARLOS;327;263;64;0.61;58.41;25.03;83.44;2014
20230614;37;010310;SELVA;AMAZONAS;BONGARA;SHIPASBAMBA;1744;1018;726;0.61;226.21;96.95;323.15;2014
20230614;38;010311;SELVA;AMAZONAS;BONGARA;VALERA;1295;437;858;0.61;97.14;41.63;138.77;2014
20230614;39;010312;SELVA;AMAZONAS;BONGARA;YAMBRASBAMBA;8070;2983;5087;0.61;662.93;284.11;947.04;2014
20230614;40;010401;SELVA;AMAZONAS;CONDORCANQUI;NIEVA ;28116;4147;23969;0.59;892.99;382.71;1275.70;2014
20230614;41;010402;SELVA;AMAZONAS;CONDORCANQUI;EL CENEPA ;9513;1216;8297;0.61;270.16;115.78;385.95;2014
20230614;42;010403;SELVA;AMAZONAS;CONDORCANQUI;RIO SANTIAGO;16282;2709;13573;0.61;601.86;257.94;859.79;2014
20230614;43;010501;SIERRA;AMAZONAS;LUYA;LAMUD;2330;2020;310;0.66;486.51;208.50;695.01;2014
20230614;44;010502;SELVA;AMAZONAS;LUYA;CAMPORREDONDO;7006;4431;2575;0.61;984.66;422.00;1406.66;2014
20230614;45;010503;SELVA;AMAZONAS;LUYA;COCABAMBA;2492;359;2133;0.61;79.85;34.22;114.07;2014
20230614;46;010504;SIERRA;AMAZONAS;LUYA;COLCAMAR;2326;1354;972;0.45;222.02;95.15;317.17;2014
20230614;47;010505;SELVA;AMAZONAS;LUYA;CONILA;2102;1233;869;0.61;274.09;117.47;391.56;2014
20230614;48;010506;SIERRA;AMAZONAS;LUYA;INGUILPATA;622;367;255;0.45;60.26;25.83;86.09;2014
20230614;49;010507;SELVA;AMAZONAS;LUYA;LONGUITA;1132;237;895;0.61;52.65;22.56;75.21;2014
20230614;50;010508;SIERRA;AMAZONAS;LUYA;LONYA CHICO;997;327;670;0.45;53.67;23.00;76.67;2014
20230614;51;010509;SIERRA;AMAZONAS;LUYA;LUYA;4422;2319;2103;0.57;482.48;206.78;689.26;2014
20230614;52;010510;SIERRA;AMAZONAS;LUYA;LUYA VIEJO;479;479;0;0.45;78.55;33.67;112.22;2014
20230614;53;010511;SELVA;AMAZONAS;LUYA;MARIA;938;502;436;0.61;111.65;47.85;159.50;2014
20230614;54;010512;SELVA;AMAZONAS;LUYA;OCALLI;4180;1589;2591;0.61;353.12;151.34;504.46;2014
20230614;55;010513;SELVA;AMAZONAS;LUYA;OCUMAL;4163;691;3472;0.61;153.65;65.85;219.50;2014
20230614;56;010514;SIERRA;AMAZONAS;LUYA;PISUQUIA;6065;274;5791;0.45;44.86;19.23;64.09;2014
20230614;57;010515;SIERRA;AMAZONAS;LUYA;PROVIDENCIA;1539;282;1257;0.45;46.19;19.80;65.98;2014
20230614;58;010516;SIERRA;AMAZONAS;LUYA;SAN CRISTOBAL;700;493;207;0.45;80.86;34.65;115.51;2014
20230614;59;010517;SIERRA;AMAZONAS;LUYA;SAN FRANCISCO DEL YESO;826;386;440;0.45;63.37;27.16;90.53;2014
20230614;60;010518;SIERRA;AMAZONAS;LUYA;SAN JERONIMO;909;350;559;0.45;57.46;24.62;82.08;2014
20230614;61;010519;SELVA;AMAZONAS;LUYA;SAN JUAN DE LOPECANCHA;524;78;446;0.61;17.27;7.40;24.67;2014
20230614;62;010520;SIERRA;AMAZONAS;LUYA;SANTA CATALINA;1888;470;1418;0.45;77.13;33.06;110.19;2014
20230614;63;010521;SELVA;AMAZONAS;LUYA;SANTO TOMAS;3619;1091;2528;0.61;242.35;103.86;346.21;2014
20230614;64;010522;SIERRA;AMAZONAS;LUYA;TINGO;1352;703;649;0.45;115.25;49.39;164.64;2014
20230614;65;010523;SIERRA;AMAZONAS;LUYA;TRITA;1378;824;554;0.45;135.06;57.88;192.95;2014
20230614;66;010601;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;SAN NICOLAS;5255;3646;1609;0.61;810.18;347.22;1157.40;2014
20230614;67;010602;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;CHIRIMOTO;2048;117;1931;0.61;25.94;11.12;37.06;2014
20230614;68;010603;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;COCHAMAL;519;412;107;0.61;91.63;39.27;130.90;2014
20230614;69;010604;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;HUAMBO;2711;582;2129;0.61;129.31;55.42;184.72;2014
20230614;70;010605;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;LIMABAMBA;2999;648;2351;0.61;143.98;61.71;205.68;2014
20230614;71;010606;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;LONGAR;1667;913;754;0.61;202.92;86.96;289.88;2014
20230614;72;010607;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;MARISCAL BENAVIDES;1417;879;538;0.61;195.32;83.71;279.03;2014
20230614;73;010608;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;MILPUC;622;358;264;0.61;79.51;34.08;113.58;2014
20230614;74;010609;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;OMIA;9364;802;8562;0.61;178.19;76.37;254.56;2014
20230614;75;010610;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;SANTA ROSA;480;135;345;0.61;30.02;12.87;42.89;2014
20230614;76;010611;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;TOTORA;462;125;337;0.61;27.87;11.94;39.81;2014
20230614;77;010612;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;VISTA ALEGRE;3342;709;2633;0.61;157.63;67.55;225.18;2014
20230614;78;010701;SIERRA;AMAZONAS;UTCUBAMBA;BAGUA GRANDE;53335;33246;20089;0.56;6830.54;2927.38;9757.92;2014
20230614;79;010702;SELVA;AMAZONAS;UTCUBAMBA;CAJARURO ;28523;8730;19793;0.61;1939.93;831.40;2771.32;2014
20230614;80;010703;SIERRA;AMAZONAS;UTCUBAMBA;CUMBA;8955;2719;6236;0.56;555.78;238.19;793.97;2014
